aax	[1,1,[Molnupiravir,"",1]]
business	[199,660,["%22Yes,_And%22_rule","",2],[2%2B2_road,"",1],[2017_NFL_season,"",6],[24th_United_States_Congress,m,1],[76th_United_States_Congress,m,1],[A.E._Housman,"",1],[AC_adapter,"",1],[AD_1962,m,2],[AS_Nancy,m,1],[A_Room_with_a_View,m,1],[Adventure_(magazine),"",1],[American_propaganda_during_World_War_II,"",4],[Animal_Farm_(1954_film),"",1],[Anshan,m,2],[Anthony_Jenkinson,m,1],[Apache_Cassandra,"",1],[Arendt,"",4],[Army_and_Air_Force_Exchange_Service,"",3],[Augustus_Pugin,m,1],[Axios_(website),"",3],[Bakelite,m,1],[Banana_Republic,m,3],[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",2],[Big_Bad_Wolf,m,1],[Bikini,"",4],[Bodmin_and_Wadebridge_Railway,"",1],[Booker_T._Washington,"",8],[Borat,"",1],[Bryna_Productions,m,2],[Buckingham_Palace,m,1],[Busan,m,2],[Carbonated_water,"",4],[Carnival_Cruise_Line,"",1],[Cat_Stevens'_comments_about_Salman_Rushdie,"",1],["Category:Economy-related_lists",m,1],["Category:Transport_companies_established_in_1879",m,1],["Category:Transport_companies_established_in_1890",m,1],["Chattanooga,_Tennessee",m,9],[Chiropractic_education,"",1],[Classism,"",1],[Clojure,"",1],[Colne,"",1],[Complex_(magazine),"",16],[Cory_Doctorow,m,2],[Cuneiform,"",2],[Cybersyn,"",3],[DVB-T2,"",1],[Dan_Kaminsky,"",1],[Diffie-Hellman,"",1],[Drums_and_Wires,m,1],[Eadweard_Muybridge,"",9],[East_Stroudsburg_University_of_Pennsylvania,m,1],[Economic_geography,m,1],[Economist,"",5],[Edmund_Randolph,"",1],[Eket_people,"",4],[Electronics_manufacturing_services,"",2],[Entropy,"",1],[Erich_Ludendorff,m,2],[Eugene_Fama,"",6],[Eva_Moskowitz,"",2],[Export_of_cryptography_in_the_United_States,"",1],["Forest_Park_(St._Louis,_Missouri)","",4],[Fraternities_and_sororities,"",2],[Fraternity,"",2],[Fred_Melamed,m,1],[GForge,"",1],[GLS_Bank,"",1],[Gamla_stan,m,1],[Genndy_Tartakovsky,m,1],[George_Bush_Presidential_Library,"",1],[Georgism,"",7],[Ghazi_Kanaan,m,2],[Google_Ads,m,5],[Great_Fire_of_London,"",1],[Hackerspace,"",2],[Hatch_Act_of_1939,"",2],[History_of_Champagne,"",6],[Hudson's_Bay_Company,"",30],[Imperial_Chinese_tributary_system,"",1],[Indianapolis_Clowns,m,1],[Information_society,"",5],[Insurrection,m,1],[Intellectual_capital,"",7],["International_District,_Seattle,_Washington","",4],[International_Women's_Day,"",3],[Irish_English,m,1],[Joseph_Stalin,"",1],[Judicial_Appointments_Board_for_Scotland,m,7],[Justin_Bieber,"",5],[KLM,"",46],[Kasam_Tere_Pyaar_Ki,"",1],[Lactated_Ringer%27s_solution,m,1],[Liberty_Records,m,3],[Lichty_Guitars,"",2],[List_of_important_publications_in_economics,"",8],[List_of_tallest_buildings_and_structures_in_the_world,m,3],[Live-ball_era,"",2],[Liverpool_John_Lennon_Airport,"",4],[Lucy_in_the_Sky_with_Diamonds,"",1],[Ludwig_von_Mises,"",3],[MAN_Turbo,m,1],[Madison_Metropolitan_School_District,m,2],[Mahan_Air,"",2],["Manhattan,_New_York","",18],[MarkMonitor,m,5],[Maryland_and_Pennsylvania_Railroad,m,1],[Merrill_Lynch,m,15],[Militarism,m,2],[Mombasa_County,m,1],[Money,"",9],["Mount_Barker,_South_Australia","",1],[Multiple-language_version,"",1],[Na'vi_language,"",1],[Napalm_Death,m,2],[Nationalism,"",2],[Natural_News,"",5],[NetBeans,"",1],[Net_metering_in_Nevada,"",2],[New_York_State_Banking_Department,"",19],[Nick_Holonyak,"",1],[Oakland_International_Airport,"",4],[Odessa,m,4],[Okapi,"",1],[Ontario_Provincial_Junior_Hockey_League,m,1],[Oracle_SOA_Suite,"",5],[Oscar_Pistorius,m,5],[Ottmar_Mergenthaler,"",2],[PC-8000,"",4],[Philadelphia_Police_Department,"",2],[Philanthropy,"",9],[Photometry_%28astronomy%29,"",1],[Physiologically-based_pharmacokinetic_modelling,"",1],[Political_subdivisions_of_New_York_State,m,1],["Port_Hacking,_New_South_Wales","",1],[Prince_(musician),"",3],[QuickBASIC,"",1],[Rachel_Weisz,m,2],[Refusal_of_work,"",2],[Ricola,"",3],[Rouzan_al-Najjar,"",1],[Roy_O._Disney,m,3],[Royal_Thai_Air_Force,m,1],[Russia_in_the_European_energy_sector,"",1],[SERVQUAL,m,3],[Safe_room,m,1],[Salar_Kamangar,m,1],[Samuel_A._Foot,m,1],[Scottish_independence,m,1],[Scrum_(development),"",17],[Seattle_Central_College,"",1],[Secure_boot,"",1],[Selangor,"",2],[Selangor,m,2],[Shaw_Media,m,2],[Skunk_works,"",2],[Sly_Stone,"",1],[Smart_Technologies,"",4],[Social_economy,"",6],[Sol_Invictus,"",1],[South_Park,"",2],["South_Shore,_Chicago","",1],[Spamming,"",10],[Stadium_Australia,"",1],[Stafford_Beer,"",5],[Steal_This_Film,"",1],[Stothert_&_Pitt,"",2],[Supply-side_economics,"",21],[Systems_thinking,m,2],[TN_status,"",7],[Taito_Corporation,"",7],[Tardigrade,m,1],["The_Answer_to_Life,_the_Universe,_and_Everything","",1],[The_Broadmoor,"",1],[The_Century_Council,"",1],[The_Harvard_Crimson,m,3],[The_Hatter,"",1],[The_International_Customer_Service_Institute,"",1],[The_Lion_King_1%C2%BD,m,1],[The_Periodic_Table_of_Videos,"",1],[The_Terror_Timeline,"",1],[The_Third_Policeman?source=post_page---------------------------,"",1],[Theydon_Bois,"",1],[Track_Records,"",1],[Trusted_Computing_Group,"",1],[Tuenti,"",2],[United_Dairies,m,3],[Universal_Kids,"",1],[Universit%C3%A9_de_Montr%C3%A9al,m,5],[University_of_Massachusetts_Dartmouth,m,21],["Vasco_da_Gama,_Goa","",1],[Video_disk,"",1],[Vienna_University_of_Technology,"",3],[Wardley_map,"",7],[Web_Hosting,"",2],[Wicked_problem,"",3],[Wikipedia?Wikipedia,"",12],[Write_amplification,"",1],[Yellow_cab,"",1]]
businessoffashion	[1,1,[Hudson's_Bay_Company,"",1]]
butchers	[1,1,[Leymah_Gbowee,"",1]]
butchoff	[1,1,[Augustus_Pugin,m,1]]
byproduct	[3,4,[Claude-Adrien_Helvtius,"",1],[Fossil-fuel_power_station,m,1],[Rapeseed,"",2]]
büchi	[1,1,[Chemical_reactions,m,1]]
caesennius	[1,2,[Publius_Petronius_Turpilianus,"",2]]
cain	[8,12,["Aradia,_or_the_Gospel_of_the_Witches","",3],[Cytolysis,"",1],[Foreign_Agents_Registration_Act,"",1],[Leo_and_Diane_Dillon,m,1],[Retrograde_motion,"",1],[Silmido_(film),"",1],["South_Shore,_Chicago","",1],[The_Sandman_(Vertigo),"",3]]
calculatedly	[1,1,[Augustus_Pugin,m,1]]
calopus	[1,1,[Antelope,m,1]]
calzone	[1,1,[Systems_biology,"",1]]
camballin	[1,1,[201011_Australian_region_cyclone_season,"",1]]
canarias	[3,3,[KLM,"",1],[Mahan_Air,"",1],[Photometry_%28astronomy%29,"",1]]
candice	[2,2,[Africa,"",1],[The_Mickey_Mouse_Club,"",1]]
capena	[1,1,[Jupiter_(mythology),"",1]]
capped	[7,13,[2017_NFL_season,"",1],[Carolina_parakeet,"",3],[Erich_Ludendorff,m,1],[Moses_Gate_Country_Park,"",1],[Prince_(musician),"",1],[Rapeseed,"",1],[Wayne_Rooney,"",5]]
capsaicin	[1,2,[LD50,"",2]]
capt	[4,9,[75th_United_States_Congress,m,1],[Exclave,m,1],["National_Register_of_Historic_Places_listings_in_Rockingham_County,_New_Hampshire","",2],[USS_America_(CV-66),m,5]]
cardozo	[1,1,[Steven_Pruzansky,"",1]]
castle	[60,171,["1293",m,2],[Albano_Vercellese,m,1],[All_In_(professional_wrestling_event),"",1],[Arendt,"",1],[Armenian_monastery_of_Suceava,m,1],[Arros%C3%A8s,m,1],[Augustus_Pugin,m,5],[Awa_Odori,"",1],[Big_Bad_Wolf,m,2],[Buckingham_Palace,m,8],[Carnival_Cruise_Line,"",1],["Catherine_Grandison,_Countess_of_Salisbury",m,1],["Chesterfield,_Virginia","",1],[Clifden,"",5],[Colne,"",1],[Concino_Concini,m,2],[D%C3%A9nia,m,4],[Dominion_%28card_game%29,"",2],[Eggerland_series,"",1],[Eurofurence,"",1],[Export_of_cryptography_in_the_United_States,"",1],[Fossil-fuel_power_station,m,1],[Gamla_stan,m,1],[Great_Fire_of_London,"",1],[Hernando_Pizarro,"",1],[Houmt_El_Souk,"",1],[Irish_English,m,1],[Kildwick,"",1],[List_of_streets_and_roads_in_Hong_Kong,"",5],[Liverpool_John_Lennon_Airport,"",1],["Manhattan,_New_York","",8],[Marie_von_Ebner-Eschenbach,"",4],[Michael_Ward_(Irish_politician),"",2],[Morgan_le_Fay,m,14],[Multiple-language_version,"",2],["National_Register_of_Historic_Places_listings_in_Rockingham_County,_New_Hampshire","",6],[Odessa,m,1],[Old_Z%C3%BCrich_War,"",1],[Open_score,m,1],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1],[Ottmar_Mergenthaler,"",1],[Peak_District,"",3],[Pieter_Corneliszoon_Hooft,"",2],["Roslin,_Midlothian","",6],["Rudolf_II,_Holy_Roman_Emperor",m,10],[Saint_George,m,3],[Satsuma_Rebellion,m,14],[Siege_of_Shkodra,m,9],[Smithsonian_Astrophysical_Observatory,"",2],[Sol_Invictus,"",1],["South_Shore,_Chicago","",1],[The_Hatter,"",1],[The_Sandman_(Vertigo),"",2],[Theydon_Bois,"",1],[Universal_Kids,"",1],["User:Another_Believer",m,1],[Vienna_University_of_Technology,"",1],[Wii_Sports_Resort,m,1],["Wolfgang,_Prince_of_Anhalt-K%C3%B6then","",2],[York_Museums_Trust,m,13]]
catacomb	[2,2,[Proto-Germanic,"",1],[Surface_caching,"",1]]
caudatus	[3,3,[Cereal_grain,"",1],[Koala,"",1],[Okapi,"",1]]
cbeebies	[2,3,[DVB-T2,"",2],[Universal_Kids,"",1]]
ccednet	[1,1,[Social_economy,"",1]]
cdots	[5,7,[BaileyBorweinPlouffe_formula,"",3],[Constant_problem,"",1],[Entropy,"",1],[L%C3%A9vy_process,m,1],[Metric_space,m,1]]
celal	[1,1,[Freethought,"",1]]
cellulosic	[1,2,[Rapeseed,"",2]]
cgh	[1,1,[List_of_airlines_of_China,"",1]]
chalkidiki	[1,1,[Africa,"",1]]
champurrado	[1,1,[Sol_Invictus,"",1]]
chapple	[1,1,[Fate/Grand_Order,"",1]]
chatto	[2,2,[Odessa,m,1],[Vedic_period,"",1]]
chebi	[2,4,[Molnupiravir,"",2],[Rosmarinic_acid,"",2]]
cheddar	[1,1,[Sauerkraut,"",1]]
chernoles	[1,1,[Proto-Germanic,"",1]]
cheung	[5,19,[Ainu_language,m,1],[Global_climate_change,"",1],[Justin_Bieber,"",1],[List_of_streets_and_roads_in_Hong_Kong,"",15],[Samuel_Bowles_(economist),"",1]]
chile	[41,94,[1700_Cascadia_earthquake,"",1],[1971_CONMEBOL_Pre-Olympic_Tournament,m,5],[AD_1962,m,1],[Andean_civilizations,"",4],[Banana_Republic,m,1],[Busan,m,1],[Cascadia_subduction_zone,"",1],["Category:1929_in_South_America",m,1],["Category:Start-Class_medicine_articles",m,1],[Criminal_code,"",1],[Cybersyn,"",16],[El_Nina,"",5],[Exclave,m,3],[Foot_whipping,"",1],[Freethought,"",1],[Gringo,"",1],[H%C3%A9ctor_Scarone,m,6],[Hernando_Pizarro,"",1],[History_of_Champagne,"",1],[Hungarian_People%27s_Republic,m,1],[International_Women's_Day,"",5],[Irredentism,m,3],[KLM,"",1],[Macedonia_naming_dispute,"",1],[Mahan_Air,"",1],[Molnupiravir,"",2],[Odessa,m,1],[Pirate_Party_of_Serbia,"",2],[Refusal_of_work,"",1],[Sauerkraut,"",1],[Shunt_(theatre_company),"",1],[Silvaner,"",2],[Smithsonian_Astrophysical_Observatory,"",2],[Stafford_Beer,"",2],[Systems_thinking,m,1],[Tardigrade,m,1],["Teodoro_Schmidt,_Chile",m,10],[Texas_Congress,"",1],[Track_Records,"",1],[Widowed,"",1],[World_Men%27s_Handball_Championship,m,1]]
chopping	[1,1,[Bryna_Productions,m,1]]
chordal	[2,2,[Help!_(album),"",1],[Open_score,m,1]]
christendom	[7,7,[Garrigou-Lagrange,"",1],[Greco-Roman_world,"",1],[Hernando_Pizarro,"",1],[Macedonia_naming_dispute,"",1],[Ottonian_dynasty,m,1],["Rudolf_II,_Holy_Roman_Emperor",m,1],[Serbian_Patriarchate_of_Pe%C4%87,m,1]]
chub	[2,2,[Faggot_(slang),"",1],[List_of_Virginia_state_parks,"",1]]
chunking	[1,10,[Encoding_%28memory%29,"",10]]
chunmiao	[1,1,[Justin_Bieber,"",1]]
churchyards	[1,1,[Consistory_court,"",1]]
chyavana	[1,1,[Urine_therapy,"",1]]
cinqueoils	[1,1,["James_Blackwood,_2nd_Baron_Dufferin_and_Claneboye",m,1]]
ciucci	[1,1,[Global_climate_change,"",1]]
cjx	[1,1,[List_of_airlines_of_China,"",1]]
clissman	[1,6,[The_Third_Policeman?source=post_page---------------------------,"",6]]
cloaked	[1,1,[DVB-T2,"",1]]
cmmi	[1,2,[Scrum_(development),"",2]]
cobo	[1,1,[Andean_civilizations,"",1]]
cognitect	[1,6,[Clojure,"",6]]
coke	[4,8,[Anshan,m,1],[Global_climate_change,"",2],[Judicial_review_in_English_law,m,1],[Royal_prerogative_in_the_United_Kingdom,m,4]]
collegiality	[1,1,[Greco-Roman_world,"",1]]
collegium	[3,3,[Arendt,"",1],[Capillary_action,"",1],[Jupiter_(mythology),"",1]]
colonial	[61,176,[Adventure_(magazine),"",1],[Africa,"",16],[Analytical_profile_index,"",1],[Arendt,"",1],[Bengkulu,m,2],[Bight_of_Bonny,"",1],[Bikini,"",1],[Booker_T._Washington,"",1],[Carolina_parakeet,"",3],["Category:1660s_disestablishments_in_Sweden",m,1],["Category:1802_establishments_in_the_French_colonial_empire",m,5],["Category:1903_in_Japan",m,1],["Category:1910_establishments_in_France",m,1],["Chattanooga,_Tennessee",m,1],["Chesterfield,_Virginia","",2],[Comoro_Islands,"",1],[Condorcet,"",2],[Eket_people,"",2],[Exclave,m,1],[Export_of_cryptography_in_the_United_States,"",1],[Foot_whipping,"",2],["Forest_Park_(St._Louis,_Missouri)","",2],[Fraternity,"",1],[Freethought,"",1],[Henri_Bourassa,"",1],[Henri_Curiel,m,3],["Hernando,_Mississippi","",3],[Hernando_Pizarro,"",1],[Hudson's_Bay_Company,"",1],[Insurrection,m,1],[Irredentism,m,3],[Joseph_I_of_Portugal,m,1],[Joseph_Stalin,"",1],[Jungle_Book,"",2],[Kabir_Bedi,"",2],[La_Guajira_Department,"",2],[List_of_Virginia_state_parks,"",2],["Manhattan,_New_York","",8],[Militarism,m,1],[Monpa_people,"",1],["Mount_Barker,_South_Australia","",1],[Movimento_das_For%C3%A7as_Armadas,m,7],[Nanshin-ron,"",5],[Nationalism,"",30],[Neely_Bruce,"",2],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1],[Parsley_Massacre,"",2],[Partus_sequitur_ventrem,"",15],[Philippine_literature,m,7],[Political_subdivisions_of_New_York_State,m,1],[Rao_Bahadur,"",2],[Reform_War,"",1],[Refusal_of_work,"",2],["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,5],[Selangor,"",2],[Selangor,m,2],["South_Shore,_Chicago","",3],[Swahili_people,m,1],[Vedic_period,"",1],[Victoria_(plant),"",1],[Widowed,"",1]]
colonisation	[7,9,[Africa,"",3],[Greco-Roman_world,"",1],[Irish_English,m,1],[Irredentism,m,1],["Mount_Barker,_South_Australia","",1],[Nanshin-ron,"",1],[Odessa,m,1]]
conceptsedit	[1,1,[Systems_thinking,m,1]]
congratulating	[1,1,[Hurrem_Sultan,"",1]]
connochaetes	[1,1,[Okapi,"",1]]
conservationism	[2,2,[Georgism,"",1],["User:Another_Believer",m,1]]
conserve	[7,10,[2017_NFL_season,"",1],[American_propaganda_during_World_War_II,"",4],[Anthony_Jenkinson,m,1],[Joseph_Stalin,"",1],[Koala,"",1],[New_York_State_Banking_Department,"",1],[Powerback,m,1]]
consulate	[7,12,[Bight_of_Bonny,"",2],[Condorcet,"",2],[Foreign_Broadcast_Information_Service,"",1],[Guelaguetza,"",1],[Odoacer,m,1],[Sophie_de_Condorcet,"",1],[TN_status,"",4]]
consulter	[1,1,[Garrigou-Lagrange,"",1]]
controversiesedit	[3,3,[Google_Ads,m,1],[Madison_Metropolitan_School_District,m,1],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1]]
copra	[2,2,[Comoro_Islands,"",1],[Nanshin-ron,"",1]]
copyleft	[4,7,[Information_society,"",1],[Secure_boot,"",1],[Steal_This_Film,"",4],[Wikipedia?Wikipedia,"",1]]
cordon	[2,3,[Erich_Ludendorff,m,1],[Fraternity,"",2]]
cormack	[2,2,[Jupiter_(mythology),"",1],[Nick_Holonyak,"",1]]
coscarelli	[1,3,[Prince_(musician),"",3]]
costard	[1,1,[Calvados_(spirit),"",1]]
countervailing	[1,1,[Samuel_Bowles_(economist),"",1]]
courbure	[1,1,[Capillary_action,"",1]]
cranked	[1,1,[Carburettor,m,1]]
crannied	[1,1,[The_Charge_of_the_Light_Brigade_(poem),"",1]]
crawfords	[1,1,[List_of_Virginia_state_parks,"",1]]
crazier	[1,1,[The_Adventures_of_Rain_Dance_Maggie,m,1]]
creedence	[1,1,[Sly_Stone,"",1]]
crucis	[1,2,[Sacro_Monte_di_Ghiffa,m,2]]
csz	[2,2,[Cascadia_subduction_zone,"",1],[List_of_airlines_of_China,"",1]]
cuailnge	[1,1,[Fragarach,"",1]]
cuirassier	[1,1,[Militarism,m,1]]
curbs	[1,2,[Hatch_Act_of_1939,"",2]]
curcas	[1,1,[Rapeseed,"",1]]
cutin	[1,1,[Biopolymer,m,1]]
cuvier	[1,1,[Leonhart_Fuchs,"",1]]
czardasfürstin	[1,1,[Multiple-language_version,"",1]]
d'ambrosio	[1,1,[2004_Major_League_Baseball_All-Star_Game,"",1]]
dagmar	[3,3,[2007_FIFA_Women%27s_World_Cup_Group_D,m,1],[Arendt,"",1],[Freethought,"",1]]
dameron	[1,1,[List_of_Virginia_state_parks,"",1]]
danang	[1,1,[Gundala_(film),"",1]]
danois	[1,1,[Morgan_le_Fay,m,1]]
dario	[8,12,[1996_San_Diego_Padres_season,m,1],[Arendt,"",1],[Jupiter_(mythology),"",4],[Monterey_Grand_Prix,m,1],[Multiple-language_version,"",1],[Prince_(musician),"",1],[Shadow_of_the_Eagle_(1950_film),m,2],[Wikipedia?Wikipedia,"",1]]
darzee	[1,2,[Jungle_Book,"",2]]
dashnaktsutiun	[1,1,[Irredentism,m,1]]
datalog	[1,1,[GraphQL,"",1]]
dauphiné	[1,2,[Condorcet,"",2]]
dauril	[1,1,["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,1]]
davud	[2,5,[Siege_of_Shkodra,m,4],[Toothbrush_moustache,"",1]]
decorative	[13,18,[Arts,m,3],[Bikini,"",1],[Buckingham_Palace,m,1],[Carolina_parakeet,"",1],[Cuneiform,"",1],[East_Asian_M%C4%81dhyamaka,"",1],[Laminated_glass,"",2],[Natalia_Goncharova,"",1],[Political_subdivisions_of_New_York_State,m,1],[Raoul_Dufy,m,3],["Rudolf_II,_Holy_Roman_Emperor",m,1],[Swahili_people,m,1],[Tesserae,m,1]]
deemo	[1,2,[Fate/Grand_Order,"",2]]
defeatist	[1,1,[Joseph_Stalin,"",1]]
delamination	[1,1,[Laminated_glass,"",1]]
demonstrations	[17,21,[Eadweard_Muybridge,"",2],[First_Vienna_Award,m,1],[Flag_of_Azerbaijan,"",1],[Global_climate_change,"",2],[International_Women's_Day,"",2],[Joseph_Stalin,"",1],[Leymah_Gbowee,"",1],[Macedonia_naming_dispute,"",2],["Manhattan,_New_York","",1],[Mardi_Gras_Indians,"",1],[Nagorno-Karabakh,m,1],[Nationalism,"",1],[Presentation,"",1],[Rouzan_al-Najjar,"",1],[Terrorism_Act_2000,"",1],[The_Periodic_Table_of_Videos,"",1],[USS_America_(CV-66),m,1]]
denominate	[1,1,["The_Answer_to_Life,_the_Universe,_and_Everything","",1]]
deor	[1,1,[Jupiter_(mythology),"",1]]
desastre	[1,1,[Joseph_I_of_Portugal,m,1]]
desember	[1,1,[Bikini,"",1]]
deshpande	[1,1,[Dmitri_Mendeleev,m,1]]
detroit	[29,78,["1293",m,1],[1996_San_Diego_Padres_season,m,1],[2004_Major_League_Baseball_All-Star_Game,"",4],[2017_NFL_season,"",18],[AD_1962,m,1],[Adam_McKay,"",2],[American_propaganda_during_World_War_II,"",4],[Booker_T._Washington,"",3],[Bryna_Productions,m,10],[Craig_Robinson_(actor),"",1],[Economic_geography,m,1],[Edwin_Eugene_Bagley,"",1],[Futura_2000,"",1],[Georg_Simmel,"",1],[Georgism,"",1],[Haleakala_National_Park,"",1],["International_District,_Seattle,_Washington","",1],[Jaguars_Radio_Network,"",4],[Live-ball_era,"",1],[Mary_Kaye,m,1],[Mike_Eruzione,"",2],[Nerdcore_hip_hop,"",1],[Oakland_International_Airport,"",3],[Partus_sequitur_ventrem,"",1],[Sly_Stone,"",2],[Steven_Pruzansky,"",1],[TN_status,"",1],["Texas_Chainsaw_Massacre:_The_Next_Generation","",4],[WTVG,m,5]]
devereaux	[1,1,[Oscar_Pistorius,m,1]]
diced	[1,1,[Monterey_Grand_Prix,m,1]]
dimly	[1,1,[Louis_Daguerre,"",1]]
dingiso	[1,1,[Koala,"",1]]
dinner	[22,31,[9th_Wonder,m,2],[Animal_Farm_(1954_film),"",1],[Big_Bad_Wolf,m,1],[Booker_T._Washington,"",1],[Borat,"",4],[Calvados_(spirit),"",1],["Chattanooga,_Tennessee",m,1],[Erich_Ludendorff,m,1],[Eva_Moskowitz,"",1],[Georgism,"",1],[Joseph_Stalin,"",2],[Kasam_Tere_Pyaar_Ki,"",1],[List_of_IACC_yachts,m,1],[Nuremburg_Trials,"",2],[Past_participle,m,1],[Prince_(musician),"",1],[Sol_Invictus,"",1],[Teenage_Mutant_Ninja_Turtles_food_tie-ins,"",1],["Texas_Chainsaw_Massacre:_The_Next_Generation","",3],[The_Baseball_Bunch,"",1],[Valley_of_Eagles,m,1],["Wikipedia:Meetup/NYC/Wikipedia_Day_2012","",2]]
diplock's	[1,2,[Judicial_review_in_English_law,m,2]]
directories	[2,2,["Manhattan,_New_York","",1],[Secure_boot,"",1]]
discothèque	[1,1,[USS_America_(CV-66),m,1]]
disquiet	[2,2,[Rachel_Weisz,m,1],[Terrorism_Act_2000,"",1]]
divorcé	[1,1,[Widowed,"",1]]
dlc	[1,1,[Fred_Melamed,m,1]]
dobkin	[3,4,[Judy_Gumbo,"",2],[Social_economy,"",1],[Toothbrush_moustache,"",1]]
doggin	[1,1,[Billboard_Year-End_Hot_100_singles_of_1960,"",1]]
dokter	[1,1,[Carice_van_Houten,"",1]]
dol	[1,3,[Pazardzhik,"",3]]
dominate	[22,22,[2017_NFL_season,"",1],[Africa,"",1],[Dragonstar_(role-playing_game),"",1],[Global_climate_change,"",1],[Greco-Roman_world,"",1],[History_of_Champagne,"",1],[Insurrection,m,1],[Joseph_Stalin,"",1],[Koala,"",1],[Lichty_Guitars,"",1],[Mardi_Gras_Indians,"",1],[Monterey_Grand_Prix,m,1],[Ottonian_dynasty,m,1],[Peak_District,"",1],["S%C3%A3o_Domingos,_Cape_Verde_(municipality)",m,1],[Satsuma_Rebellion,m,1],[Siege_of_Shkodra,m,1],[Starter_(engine),m,1],[The_Hatter,"",1],[Theydon_Bois,"",1],[Tipperary_Senior_Football_Championship,m,1],[Wikipedia?Wikipedia,"",1]]
dons	[2,2,[Coerce,"",1],["Manhattan,_New_York","",1]]
dontserveteens	[1,1,[The_Century_Council,"",1]]
dorun	[1,1,[Clojure,"",1]]
dowell	[2,3,[75th_United_States_Congress,m,1],[76th_United_States_Congress,m,2]]
dramatica	[1,1,[Wikipedia?Wikipedia,"",1]]
drm	[4,12,[Cory_Doctorow,m,3],[Information_society,"",1],[Secure_boot,"",7],[Trusted_Computing_Group,"",1]]
dualisms	[1,1,[Georg_Simmel,"",1]]
dufour	[2,3,[Russia_in_the_European_energy_sector,"",1],[Sailing_(sport),"",2]]
dulcet	[1,1,[Irish_English,m,1]]
dunning	[7,9,[Africa,"",1],[American_propaganda_during_World_War_II,"",1],[Natural_News,"",2],[Natural_experiment,"",1],[Optimism_bias,"",1],[Peak_District,"",1],["South_Shore,_Chicago","",2]]
duqu	[1,2,[Chaos_Computer_Club,"",2]]
dwell	[5,6,[Arendt,"",1],[Glaucus,m,1],[Imperial_Chinese_tributary_system,"",1],["Maol_%C3%8Dosa_V,_Earl_of_Strathearn",m,1],[Morgan_le_Fay,m,2]]
dwm	[2,2,[Kurt_Akeley,"",1],[X_display_manager_(program_type),"",1]]
dávila	[3,3,["Category:1604_deaths",m,1],["Category:Colony_of_Santiago",m,1],[Garrigou-Lagrange,"",1]]
dârünnedve	[1,1,[Seljuks,m,1]]
eastward	[10,12,[El_Nina,"",1],[Great_Fire_of_London,"",2],["Manhattan,_New_York","",1],[Ontario_Provincial_Junior_Hockey_League,m,1],[Proto-Germanic,"",1],[Sailing_(sport),"",1],[San_Gorgonio_Pass,"",1],["South_Shore,_Chicago","",1],[USS_America_(CV-66),m,1],[Vedic_period,"",2]]
echiniscoides	[1,2,[Tardigrade,m,2]]
ecophysiological	[1,1,[Uromastyx,"",1]]
ecozone	[1,1,[Africa,"",1]]
edet	[1,3,[Eket_people,"",3]]
edifying	[1,2,[Philippine_literature,m,2]]
egoists	[2,4,[Freethought,"",2],[Refusal_of_work,"",2]]
egyptedit	[1,1,[Henri_Curiel,m,1]]
eidfjordvatnet	[1,1,[Styggevatnet,"",1]]
eiyū	[1,1,[Fate/Grand_Order,"",1]]
ellul	[2,3,[Freethought,"",1],[Refusal_of_work,"",2]]
ellyn	[1,1,["South_Shore,_Chicago","",1]]
elrington	[1,2,[Michael_Ward_(Irish_politician),"",2]]
emerald	[7,16,[Adam_McKay,"",2],[Africa,"",1],[Eggerland_series,"",4],[Knox-class_frigate,m,1],[The_Broadmoor,"",4],[The_Mickey_Mouse_Club,"",3],[The_Sandman_(Vertigo),"",1]]
emo	[3,12,[List_of_Austrian_films_of_the_1930s,m,10],[Nerdcore_hip_hop,"",1],["Template:Pop_music","",1]]
enciclopedia	[5,10,[Alberto_Chimal,m,1],[Garrigou-Lagrange,"",3],[Jupiter_(mythology),"",1],[Victor_Babe%C8%99,"",1],[Wikipedia?Wikipedia,"",4]]
